kysimus,kood,vastus,vastus_lyhike,
K29_sobiv_kogumisviis,4,"Mobiilsed kogumisautod, mis käivad graafiku alusel ukselt-uksele tekstiile kogumas",,
K29_sobiv_kogumisviis,5,Kogumisnädalad kodukandis (nt kord kvartalis),,
K29_sobiv_kogumisviis,6,Muu,,
K30_valmisolek_kategoriseerimiseks,1,"Jah, see oleks mulle sobiv",,
K30_valmisolek_kategoriseerimiseks,2,"Jah, kui sorteerimisjuhis on selge ja konkreetne",,
K30_valmisolek_kategoriseerimiseks,3,"Jah, kui kogumispunktid on mugavas asukohas ja mulle lähedal",,
K30_valmisolek_kategoriseerimiseks,4,"Ei, eelistaksin üht konteinerit kõigele (one fits for all)",,
K30_valmisolek_kategoriseerimiseks,5,Pole kindel,,
K30_valmisolek_kategoriseerimiseks,6,Muu,,
K32_teabe_allikad,1,Raadio,Raadio,
K32_teabe_allikad,2,Televisioon,Televisioon,
K32_teabe_allikad,3,"Ajalehed, ajakirjad","Ajalehed, -kirjad",
K32_teabe_allikad,4,Artiklid veebiväljaannetes,Veebiväljaanded,
K32_teabe_allikad,5,Raamatud,Raamatud,
K32_teabe_allikad,6,Sotsiaalmeedia,Sotsiaalmeedia,
K32_teabe_allikad,7,Teaduslikud uuringud ja teadusartiklid,"Uuringud, teadusartiklid",
K32_teabe_allikad,8,"Sõpradelt, tuttavatelt",Sõbrad/tuttavad,
K32_teabe_allikad,9,"See teema ei ole mind kunagi paelunud, ei huvitu sellest infost teadlikult",Ei huvitu sellest infost,
K32_teabe_allikad,10,Muu,Muu,
K33_julgustavad_tegurid,1,Kogumispunktide lähedus elukohale ja ligipääsetavus,,
K33_julgustavad_tegurid,2,Selged juhised,,
K33_julgustavad_tegurid,3,Võimalus teha head,,
K33_julgustavad_tegurid,4,Teave keskkonnamõjude kohta,,
K33_julgustavad_tegurid,5,Soodustused/allahindlused kauplustes,,
K33_julgustavad_tegurid,6,Ukselt-uksele kogumine tekstiilitakso meetodil (kokkulepitud ajal tehakse pealekorje),,
K33_julgustavad_tegurid,7,Muu,,
K36_valmisolek_lisakysimusteks,1,Jah,,
K36_valmisolek_lisakysimusteks,2,Ei,,
