;K23_kasutuskolbmatud_tekstiilid;K23_kasutuskolbmatud_tekstiilid_1;K23_kasutuskolbmatud_tekstiilid_2;K23_kasutuskolbmatud_tekstiilid_3;K23_kasutuskolbmatud_tekstiilid_4;K23_kasutuskolbmatud_tekstiilid_5;K23_kasutuskolbmatud_tekstiilid_6;K23_kasutuskolbmatud_tekstiilid_7;K23_kasutuskolbmatud_tekstiilid_muu_tekst
642;Rõivakonteineritesse, Põletan kodus, puuvillased riided saab kasutada kodus kaltsuks, tolmulapiks;1;0;0;1;0;0;1;puuvillased riided saab kasutada kodus kaltsuks,tolmulapiks
643;Mehele garaaži lappideks. Mis ei sobi läheb prügikasti;0;0;0;0;0;0;1;Mehele garaaži lappideks. Mis ei sobi läheb prügikasti
644;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
645;Põletan kodus, Matan;0;0;0;1;1;0;0;
646;Põletan kodus, Matan;0;0;0;1;1;0;0;
647;Ei tea, sest mina ei vastuta selle tegevuse eest enda leibkonnas;0;0;0;0;0;1;0;
648;lõikan tükkideks ja kasutan puhastuslappidena.;0;0;0;0;0;0;1;lõikan tükkideks ja kasutan puhastuslappidena.
649;Ei tea, sest mina ei vastuta selle tegevuse eest enda leibkonnas, st puuvill koerale, kileriided prügisse;0;0;0;0;0;1;1;st puuvill koerale,kileriided prügisse
650;Panen olmejäätme prügikonteinerisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
651;Panen olmejäätme prügikonteinerisse, Põletan kodus;0;0;0;1;0;0;1;Panen olmejäätme prügikonteinerisse
652;Kasutan loomingus;0;0;0;0;0;0;1;Kasutan loomingus
653;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
654;Rõivakonteineritesse;1;0;0;0;0;0;0;
655;Panen segaolmejäätme prügikonteinerisse, Viin eraldi jäätmejaama;0;1;1;0;0;0;0;
656;Ei tea, sest mina ei vastuta selle tegevuse eest enda leibkonnas;0;0;0;0;0;1;0;
657;Panen olmejäätme prügikonteinerisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
658;Viin eraldi jäätmejaama, Matan;0;0;1;0;1;0;0;
659;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
660;Panen olmejäätme prügikonteinerisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
661;Poodi tagasi sokutamine;0;0;0;0;0;0;1;Poodi tagasi sokutamine
662;Rõivakonteineritesse, Panen olmejäätme prügikonteinerisse;1;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
663;Panen olmejäätme prügikonteinerisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
664;Rõivakonteineritesse;1;0;0;0;0;0;0;
665;Rõivakonteineritesse, H&M ;1;0;0;0;0;0;1;H&M
666;Rõivakonteineritesse;1;0;0;0;0;0;0;
667;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
668;Põletan kodus;0;0;0;1;0;0;0;
669;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
670;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
671;Rõivakonteineritesse, Panen segaolmejäätme prügikonteinerisse;1;1;0;0;0;0;0;
672;Panen segaolmejäätme prügikonteinerisse, Viin eraldi jäätmejaama;0;1;1;0;0;0;0;
673;Rõivakonteineritesse;1;0;0;0;0;0;0;
674;Viin eraldi jäätmejaama, H&M kogumiskast;0;0;1;0;0;0;1;H&M kogumiskast
675;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
676;Panen olmejäätme prügikonteinerisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
677;Panen olmejäätme prügikonteinerisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
