;K23_kasutuskolbmatud_tekstiilid;K23_kasutuskolbmatud_tekstiilid_1;K23_kasutuskolbmatud_tekstiilid_2;K23_kasutuskolbmatud_tekstiilid_3;K23_kasutuskolbmatud_tekstiilid_4;K23_kasutuskolbmatud_tekstiilid_5;K23_kasutuskolbmatud_tekstiilid_6;K23_kasutuskolbmatud_tekstiilid_7;K23_kasutuskolbmatud_tekstiilid_muu_tekst
419;Panen olmejäätme prügikonteinerisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
420;Panen olmejäätme prügikonteinerisse, Lõikan kaltsuks;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse,Lõikan kaltsuks
421;Panen olmejäätme prügikonteinerisse, Siiani tean, et need nagunii jäätmejaamas põletatakse, selleks olengi need olmeprügisse visanud.;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse,Siiani tean,et need nagunii jäätmejaamas põletatakse,selleks olengi need olmeprügisse visanud.
422;Panen olmejäätme prügikonteinerisse, kasutan kaltsuna aga mis ei kõlba, läksid olmesse aga nüüd kogume eraldi;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse,kasutan kaltsuna aga mis ei kõlba,läksid olmesse aga nüüd kogume eraldi
423;Panen olmejäätme prügikonteinerisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
424;Panen olmejäätme prügikonteinerisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
425;H&M kogumiskast;0;0;0;0;0;0;1;H&M kogumiskast
426;Panen olmejäätme prügikonteinerisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
427;Panen olmejäätme prügikonteinerisse, Põletan kodus;0;0;0;1;0;0;1;Panen olmejäätme prügikonteinerisse
428;Panen olmejäätme prügikonteinerisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
429;Panen olmejäätme prügikonteinerisse, Teen millekski ümber või kasutan puhastuskaltsudena;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse,Teen millekski ümber või kasutan puhastuskaltsudena
430;Panen olmejäätme prügikonteinerisse, nailonist sukkpüksid ja sokid viskan katki minnes ära, olmeprügisse, muu kasutuskõlbmatu tekstiili viin HM kaupluse kogumiskasti;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse,nailonist sukkpüksid ja sokid viskan katki minnes ära,olmeprügisse,muu kasutuskõlbmatu tekstiili viin HM kaupluse kogumiskasti
431;Panen olmejäätme prügikonteinerisse, Põletan kodus;0;0;0;1;0;0;1;Panen olmejäätme prügikonteinerisse
432;Panen olmejäätme prügikonteinerisse, Viin eraldi jäätmejaama;0;0;1;0;0;0;1;Panen olmejäätme prügikonteinerisse
433;Panen olmejäätme prügikonteinerisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
434;HM, Uuskasutuskeskus ;0;0;0;0;0;0;1;HM,Uuskasutuskeskus
435;Panen olmejäätme prügikonteinerisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
436;Rõivakonteineritesse, Panen olmejäätme prügikonteinerisse;1;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
437;Panen olmejäätme prügikonteinerisse, Põletan kodus;0;0;0;1;0;0;1;Panen olmejäätme prügikonteinerisse
438;Rõivakonteineritesse, Panen olmejäätme prügikonteinerisse;1;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
439;Panen olmejäätme prügikonteinerisse, H;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse,H
440;Rõivakonteineritesse, Panen olmejäätme prügikonteinerisse;1;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
441;Panen olmejäätme prügikonteinerisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
442;Panen olmejäätme prügikonteinerisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
443;Panen olmejäätme prügikonteinerisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
444;Põletan kodus;0;0;0;1;0;0;0;
445;Ei tea, sest mina ei vastuta selle tegevuse eest enda leibkonnas;0;0;0;0;0;1;0;
446;Rõivakonteineritesse;1;0;0;0;0;0;0;
447;Rõivakonteineritesse, Panen olmejäätme prügikonteinerisse;1;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
448;Rõivakonteineritesse, Panen olmejäätme prügikonteinerisse;1;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
449;Panen segaolmejäätme prügikonteinerisse, Kui kanda ei kõlba siis tolmulapiks vms, kui see ka ennast ammendav siis olmeprügi;0;1;0;0;0;0;1;Kui kanda ei kõlba siis tolmulapiks vms,kui see ka ennast ammendav siis olmeprügi
450;Rõivakonteineritesse;1;0;0;0;0;0;0;
451;Rõivakonteineritesse, Panen segaolmejäätme prügikonteinerisse;1;1;0;0;0;0;0;
452;Rõivakonteineritesse, Katan peenraalust maad, ei mata. See on permakultuur;1;0;0;0;0;0;1;Katan peenraalust maad,ei mata. See on permakultuur
453;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
454;Põletan kodus;0;0;0;1;0;0;0;
455;Rõivakonteineritesse;1;0;0;0;0;0;0;
456;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
457;Rõivakonteineritesse, Panen segaolmejäätme prügikonteinerisse;1;1;0;0;0;0;0;
458;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
459;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
460;Rõivakonteineritesse, Viin eraldi jäätmejaama;1;0;1;0;0;0;0;
461;Rõivakonteineritesse, Panen segaolmejäätme prügikonteinerisse;1;1;0;0;0;0;0;
462;Rõivakonteineritesse;1;0;0;0;0;0;0;
463;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
464;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
465;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
466;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
467;Rõivakonteineritesse, Panen segaolmejäätme prügikonteinerisse;1;1;0;0;0;0;0;
468;Rõivakonteineritesse;1;0;0;0;0;0;0;
469;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
470;Rõivakonteineritesse;1;0;0;0;0;0;0;
471;Rõivakonteineritesse, Panen segaolmejäätme prügikonteinerisse;1;1;0;0;0;0;0;
472;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
473;Viin eraldi jäätmejaama;0;0;1;0;0;0;0;
474;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
475;Viin eraldi jäätmejaama, Põletan kodus;0;0;1;1;0;0;0;
476;segaolmeprügi konteinerisse ühistu juures;0;0;0;0;0;0;1;segaolmeprügi konteinerisse ühistu juures
477;Rõivakonteineritesse, Panen segaolmejäätme prügikonteinerisse;1;1;0;0;0;0;0;
478;Viin eraldi jäätmejaama;0;0;1;0;0;0;0;
479;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
480;Uuskasutuskeskus, Punane Rist;0;0;0;0;0;0;1;Uuskasutuskeskus,Punane Rist
481;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
482;Panen segaolmejäätme prügikonteinerisse, Viin eraldi jäätmejaama;0;1;1;0;0;0;0;
483;Panen segaolmejäätme prügikonteinerisse, Viin eraldi jäätmejaama;0;1;1;0;0;0;0;
484;Ei tea, sest mina ei vastuta selle tegevuse eest enda leibkonnas;0;0;0;0;0;1;0;
485;Rõivakonteineritesse, Panen segaolmejäätme prügikonteinerisse;1;1;0;0;0;0;0;
486;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
487;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
488;Rõivakonteineritesse;1;0;0;0;0;0;0;
489;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
490;Rõivakonteineritesse;1;0;0;0;0;0;0;
491;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
492;Panen segaolmejäätme prügikonteinerisse, Viin eraldi jäätmejaama;0;1;1;0;0;0;0;
493;Rõivakonteineritesse, Viin eraldi jäätmejaama;1;0;1;0;0;0;0;
494;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
495;Rõivakonteineritesse;1;0;0;0;0;0;0;
496;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
497;Rõivakonteineritesse;1;0;0;0;0;0;0;
498;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
499;Rõivakonteineritesse, Panen segaolmejäätme prügikonteinerisse;1;1;0;0;0;0;0;
500;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
501;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
502;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
503;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
504;Eelnevalt panin segaolmejäätmetesse.;0;0;0;0;0;0;1;Eelnevalt panin segaolmejäätmetesse.
505;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
506;Rõivakonteineritesse, Viin eraldi jäätmejaama;1;0;1;0;0;0;0;
507;Rõivakonteineritesse, Panen segaolmejäätme prügikonteinerisse, Sokid ja pesu prügisse, suuremad asjad viin konteineritesse;1;1;0;0;0;0;1;Sokid ja pesu prügisse,suuremad asjad viin konteineritesse
508;Rõivakonteineritesse, Panen segaolmejäätme prügikonteinerisse;1;1;0;0;0;0;0;
509;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
510;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
511;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
512;Rõivakonteineritesse;1;0;0;0;0;0;0;
513;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
514;ei ole kasutuskõlbmatuid - alati on võimalik midagi teha või ümber teha;0;0;0;0;0;0;1;ei ole kasutuskõlbmatuid - alati on võimalik midagi teha või ümber teha
515;Rõivakonteineritesse, Panen segaolmejäätme prügikonteinerisse;1;1;0;0;0;0;0;
516;Panen segaolmejäätme prügikonteinerisse, Annetan isikule, kes teeb kangajuppidest lapitekke;0;1;0;0;0;0;1;Annetan isikule,kes teeb kangajuppidest lapitekke
517;H&m;0;0;0;0;0;0;1;H&m
518;H&m;0;0;0;0;0;0;1;H&m
519;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
520;Pole veel tekkinud;0;0;0;0;0;0;1;Pole veel tekkinud
521;Rõivakonteineritesse, Panen segaolmejäätme prügikonteinerisse;1;1;0;0;0;0;0;
522;Rõivakonteineritesse;1;0;0;0;0;0;0;
523;Rõivakonteineritesse, Panen segaolmejäätme prügikonteinerisse;1;1;0;0;0;0;0;
524;Rõivakonteineritesse, Panen segaolmejäätme prügikonteinerisse;1;1;0;0;0;0;0;
525;Viin eraldi jäätmejaama;0;0;1;0;0;0;0;
526;Panen segaolmejäätme prügikonteinerisse, Lõikan lappideks ja kasutan koristamisel;0;1;0;0;0;0;1;Lõikan lappideks ja kasutan koristamisel
527;Panen segaolmejäätme prügikonteinerisse, H&M kogumiskasti, kui pole just ilmselgelt määrdunud ;0;1;0;0;0;0;1;H&M kogumiskasti,kui pole just ilmselgelt määrdunud
528;Rõivakonteineritesse, Panen segaolmejäätme prügikonteinerisse;1;1;0;0;0;0;0;
529;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
530;Ei tea, sest mina ei vastuta selle tegevuse eest enda leibkonnas;0;0;0;0;0;1;0;
531;Rõivakonteineritesse, Panen segaolmejäätme prügikonteinerisse;1;1;0;0;0;0;0;
532;Rõivakonteineritesse;1;0;0;0;0;0;0;
533;Rõivakonteineritesse, Kasutan auklikke ja kasutuskõlbmatuid esemeid nt liistude vms pesemiseks kodus.;1;0;0;0;0;0;1;Kasutan auklikke ja kasutuskõlbmatuid esemeid nt liistude vms pesemiseks kodus.
534;Panen segaolmejäätme prügikonteinerisse, Viin eraldi kaltsude kogumise kasti tööle(ainult hästiimavad kangad);0;1;0;0;0;0;1;Viin eraldi kaltsude kogumise kasti tööle(ainult hästiimavad kangad)
535;Panen segaolmejäätme prügikonteinerisse, Olen käsitööline ja puuvillased riideesemed lõikan ribadeks, millest saab kududa kaltsuvaipa.;0;1;0;0;0;0;1;Olen käsitööline ja puuvillased riideesemed lõikan ribadeks,millest saab kududa kaltsuvaipa.
536;Rõivakonteineritesse;1;0;0;0;0;0;0;
537;HM-i;0;0;0;0;0;0;1;HM-i
538;Rõivakonteineritesse;1;0;0;0;0;0;0;
539;Rõivakonteineritesse, Viin eraldi jäätmejaama;1;0;1;0;0;0;0;
540;Panen segaolmejäätme prügikonteinerisse, Viin H&M kogumiskasti;0;1;0;0;0;0;1;Viin H&M kogumiskasti
541;H&Mi poodides olevad konteinerid;0;0;0;0;0;0;1;H&Mi poodides olevad konteinerid
542;Ei oska kuhugi viia.;0;0;0;0;0;0;1;Ei oska kuhugi viia.
543;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
544;Rõivakonteineritesse, Panen segaolmejäätme prügikonteinerisse;1;1;0;0;0;0;0;
545;Rõivakonteineritesse, Panen segaolmejäätme prügikonteinerisse;1;1;0;0;0;0;0;
546;Rõivakonteineritesse, Panen segaolmejäätme prügikonteinerisse, Viin eraldi jäätmejaama;1;1;1;0;0;0;0;
547;Rõivakonteineritesse, Panen segaolmejäätme prügikonteinerisse;1;1;0;0;0;0;0;
548;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
549;Viin eraldi jäätmejaama;0;0;1;0;0;0;0;
550;Rõivakonteineritesse;1;0;0;0;0;0;0;
551;Rõivakonteineritesse, Põletan kodus;1;0;0;1;0;0;0;
552;Panen segaolmejäätme prügikonteinerisse, Põletan kodus;0;1;0;1;0;0;0;
